,#,Pokémon,Type,HP,ATK,DEF,Sp.ATK,Sp.DEF,SPD,Total,URLs
420,354,Banette,['Ghost'],64,115,65,83,63,65,455,https://img.pokemondb.net/sprites/sword-shield/icon/banette.png
421,354,Mega Banette,['Ghost'],64,165,75,93,83,75,555,https://img.pokemondb.net/sprites/sword-shield/icon/banette-mega.png
422,355,Duskull,['Ghost'],20,40,90,30,90,25,295,https://img.pokemondb.net/sprites/sword-shield/icon/duskull.png
423,356,Dusclops,['Ghost'],40,70,130,60,130,25,455,https://img.pokemondb.net/sprites/sword-shield/icon/dusclops.png
424,357,Tropius,"['Grass', 'Flying']",99,68,83,72,87,51,460,https://img.pokemondb.net/sprites/sword-shield/icon/tropius.png
425,358,Chimecho,['Psychic'],75,50,80,95,90,65,455,https://img.pokemondb.net/sprites/sword-shield/icon/chimecho.png
426,359,Absol,['Dark'],65,130,60,75,60,75,465,https://img.pokemondb.net/sprites/sword-shield/icon/absol.png
427,359,Mega Absol,['Dark'],65,150,60,115,60,115,565,https://img.pokemondb.net/sprites/sword-shield/icon/absol-mega.png
428,360,Wynaut,['Psychic'],95,23,48,23,48,23,260,https://img.pokemondb.net/sprites/sword-shield/icon/wynaut.png
429,361,Snorunt,['Ice'],50,50,50,50,50,50,300,https://img.pokemondb.net/sprites/sword-shield/icon/snorunt.png
430,362,Glalie,['Ice'],80,80,80,80,80,80,480,https://img.pokemondb.net/sprites/sword-shield/icon/glalie.png
431,362,Mega Glalie,['Ice'],80,120,80,120,80,100,580,https://img.pokemondb.net/sprites/sword-shield/icon/glalie-mega.png
432,363,Spheal,"['Ice', 'Water']",70,40,50,55,50,25,290,https://img.pokemondb.net/sprites/sword-shield/icon/spheal.png
433,364,Sealeo,"['Ice', 'Water']",90,60,70,75,70,45,410,https://img.pokemondb.net/sprites/sword-shield/icon/sealeo.png
434,365,Walrein,"['Ice', 'Water']",110,80,90,95,90,65,530,https://img.pokemondb.net/sprites/sword-shield/icon/walrein.png
435,366,Clamperl,['Water'],35,64,85,74,55,32,345,https://img.pokemondb.net/sprites/sword-shield/icon/clamperl.png
436,367,Huntail,['Water'],55,104,105,94,75,52,485,https://img.pokemondb.net/sprites/sword-shield/icon/huntail.png
437,368,Gorebyss,['Water'],55,84,105,114,75,52,485,https://img.pokemondb.net/sprites/sword-shield/icon/gorebyss.png
438,369,Relicanth,"['Water', 'Rock']",100,90,130,45,65,55,485,https://img.pokemondb.net/sprites/sword-shield/icon/relicanth.png
439,370,Luvdisc,['Water'],43,30,55,40,65,97,330,https://img.pokemondb.net/sprites/sword-shield/icon/luvdisc.png
440,371,Bagon,['Dragon'],45,75,60,40,30,50,300,https://img.pokemondb.net/sprites/sword-shield/icon/bagon.png
441,372,Shelgon,['Dragon'],65,95,100,60,50,50,420,https://img.pokemondb.net/sprites/sword-shield/icon/shelgon.png
442,373,Salamence,"['Dragon', 'Flying']",95,135,80,110,80,100,600,https://img.pokemondb.net/sprites/sword-shield/icon/salamence.png
443,373,Mega Salamence,"['Dragon', 'Flying']",95,145,130,120,90,120,700,https://img.pokemondb.net/sprites/sword-shield/icon/salamence-mega.png
444,374,Beldum,"['Steel', 'Psychic']",40,55,80,35,60,30,300,https://img.pokemondb.net/sprites/sword-shield/icon/beldum.png
445,375,Metang,"['Steel', 'Psychic']",60,75,100,55,80,50,420,https://img.pokemondb.net/sprites/sword-shield/icon/metang.png
446,376,Metagross,"['Steel', 'Psychic']",80,135,130,95,90,70,600,https://img.pokemondb.net/sprites/sword-shield/icon/metagross.png
447,376,Mega Metagross,"['Steel', 'Psychic']",80,145,150,105,110,110,700,https://img.pokemondb.net/sprites/sword-shield/icon/metagross-mega.png
448,377,Regirock,['Rock'],80,100,200,50,100,50,580,https://img.pokemondb.net/sprites/sword-shield/icon/regirock.png
449,378,Regice,['Ice'],80,50,100,100,200,50,580,https://img.pokemondb.net/sprites/sword-shield/icon/regice.png
450,379,Registeel,['Steel'],80,75,150,75,150,50,580,https://img.pokemondb.net/sprites/sword-shield/icon/registeel.png
451,380,Latias,"['Dragon', 'Psychic']",80,80,90,110,130,110,600,https://img.pokemondb.net/sprites/sword-shield/icon/latias.png
452,380,Mega Latias,"['Dragon', 'Psychic']",80,100,120,140,150,110,700,https://img.pokemondb.net/sprites/sword-shield/icon/latias-mega.png
453,381,Latios,"['Dragon', 'Psychic']",80,90,80,130,110,110,600,https://img.pokemondb.net/sprites/sword-shield/icon/latios.png
454,381,Mega Latios,"['Dragon', 'Psychic']",80,130,100,160,120,110,700,https://img.pokemondb.net/sprites/sword-shield/icon/latios-mega.png
455,382,Kyogre,['Water'],100,100,90,150,140,90,670,https://img.pokemondb.net/sprites/sword-shield/icon/kyogre.png
456,382,Primal Kyogre,['Water'],100,150,90,180,160,90,770,https://img.pokemondb.net/sprites/sword-shield/icon/kyogre-primal.png
457,383,Groudon,['Ground'],100,150,140,100,90,90,670,https://img.pokemondb.net/sprites/sword-shield/icon/groudon.png
458,383,Primal Groudon,"['Ground', 'Fire']",100,180,160,150,90,90,770,https://img.pokemondb.net/sprites/sword-shield/icon/groudon-primal.png
459,384,Rayquaza,"['Dragon', 'Flying']",105,150,90,150,90,95,680,https://img.pokemondb.net/sprites/sword-shield/icon/rayquaza.png
460,384,Mega Rayquaza,"['Dragon', 'Flying']",105,180,100,180,100,115,780,https://img.pokemondb.net/sprites/sword-shield/icon/rayquaza-mega.png
461,385,Jirachi,"['Steel', 'Psychic']",100,100,100,100,100,100,600,https://img.pokemondb.net/sprites/sword-shield/icon/jirachi.png
462,386,Normal Forme,['Psychic'],50,150,50,150,50,150,600,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-normal.png
463,386,Attack Forme,['Psychic'],50,180,20,180,20,150,600,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-attack.png
464,386,Defense Forme,['Psychic'],50,70,160,70,160,90,600,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-defense.png
465,386,Speed Forme,['Psychic'],50,95,90,95,90,180,600,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-speed.png
466,387,Turtwig,['Grass'],55,68,64,45,55,31,318,https://img.pokemondb.net/sprites/sword-shield/icon/turtwig.png
467,388,Grotle,['Grass'],75,89,85,55,65,36,405,https://img.pokemondb.net/sprites/sword-shield/icon/grotle.png
468,389,Torterra,"['Grass', 'Ground']",95,109,105,75,85,56,525,https://img.pokemondb.net/sprites/sword-shield/icon/torterra.png
469,390,Chimchar,['Fire'],44,58,44,58,44,61,309,https://img.pokemondb.net/sprites/sword-shield/icon/chimchar.png
470,391,Monferno,"['Fire', 'Fighting']",64,78,52,78,52,81,405,https://img.pokemondb.net/sprites/sword-shield/icon/monferno.png
471,392,Infernape,"['Fire', 'Fighting']",76,104,71,104,71,108,534,https://img.pokemondb.net/sprites/sword-shield/icon/infernape.png
472,393,Piplup,['Water'],53,51,53,61,56,40,314,https://img.pokemondb.net/sprites/sword-shield/icon/piplup.png
473,394,Prinplup,['Water'],64,66,68,81,76,50,405,https://img.pokemondb.net/sprites/sword-shield/icon/prinplup.png
474,395,Empoleon,"['Water', 'Steel']",84,86,88,111,101,60,530,https://img.pokemondb.net/sprites/sword-shield/icon/empoleon.png
475,396,Starly,"['Normal', 'Flying']",40,55,30,30,30,60,245,https://img.pokemondb.net/sprites/sword-shield/icon/starly.png
476,397,Staravia,"['Normal', 'Flying']",55,75,50,40,40,80,340,https://img.pokemondb.net/sprites/sword-shield/icon/staravia.png
477,398,Staraptor,"['Normal', 'Flying']",85,120,70,50,60,100,485,https://img.pokemondb.net/sprites/sword-shield/icon/staraptor.png
478,399,Bidoof,['Normal'],59,45,40,35,40,31,250,https://img.pokemondb.net/sprites/sword-shield/icon/bidoof.png
479,400,Bibarel,"['Normal', 'Water']",79,85,60,55,60,71,410,https://img.pokemondb.net/sprites/sword-shield/icon/bibarel.png
480,401,Kricketot,['Bug'],37,25,41,25,41,25,194,https://img.pokemondb.net/sprites/sword-shield/icon/kricketot.png
481,402,Kricketune,['Bug'],77,85,51,55,51,65,384,https://img.pokemondb.net/sprites/sword-shield/icon/kricketune.png
482,403,Shinx,['Electric'],45,65,34,40,34,45,263,https://img.pokemondb.net/sprites/sword-shield/icon/shinx.png
483,404,Luxio,['Electric'],60,85,49,60,49,60,363,https://img.pokemondb.net/sprites/sword-shield/icon/luxio.png
484,405,Luxray,['Electric'],80,120,79,95,79,70,523,https://img.pokemondb.net/sprites/sword-shield/icon/luxray.png
485,406,Budew,"['Grass', 'Poison']",40,30,35,50,70,55,280,https://img.pokemondb.net/sprites/sword-shield/icon/budew.png
486,407,Roserade,"['Grass', 'Poison']",60,70,65,125,105,90,515,https://img.pokemondb.net/sprites/sword-shield/icon/roserade.png
487,408,Cranidos,['Rock'],67,125,40,30,30,58,350,https://img.pokemondb.net/sprites/sword-shield/icon/cranidos.png
488,409,Rampardos,['Rock'],97,165,60,65,50,58,495,https://img.pokemondb.net/sprites/sword-shield/icon/rampardos.png
489,410,Shieldon,"['Rock', 'Steel']",30,42,118,42,88,30,350,https://img.pokemondb.net/sprites/sword-shield/icon/shieldon.png
490,411,Bastiodon,"['Rock', 'Steel']",60,52,168,47,138,30,495,https://img.pokemondb.net/sprites/sword-shield/icon/bastiodon.png
491,412,Burmy,['Bug'],40,29,45,29,45,36,224,https://img.pokemondb.net/sprites/sword-shield/icon/burmy.png
492,413,Plant Cloak,"['Bug', 'Grass']",60,59,85,79,105,36,424,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-plant.png
493,413,Sandy Cloak,"['Bug', 'Ground']",60,79,105,59,85,36,424,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-sandy.png
494,413,Trash Cloak,"['Bug', 'Steel']",60,69,95,69,95,36,424,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-trash.png
495,414,Mothim,"['Bug', 'Flying']",70,94,50,94,50,66,424,https://img.pokemondb.net/sprites/sword-shield/icon/mothim.png
496,415,Combee,"['Bug', 'Flying']",30,30,42,30,42,70,244,https://img.pokemondb.net/sprites/sword-shield/icon/combee.png
497,416,Vespiquen,"['Bug', 'Flying']",70,80,102,80,102,40,474,https://img.pokemondb.net/sprites/sword-shield/icon/vespiquen.png
498,417,Pachirisu,['Electric'],60,45,70,45,90,95,405,https://img.pokemondb.net/sprites/sword-shield/icon/pachirisu.png
499,418,Buizel,['Water'],55,65,35,60,30,85,330,https://img.pokemondb.net/sprites/sword-shield/icon/buizel.png
500,419,Floatzel,['Water'],85,105,55,85,50,115,495,https://img.pokemondb.net/sprites/sword-shield/icon/floatzel.png
501,420,Cherubi,['Grass'],45,35,45,62,53,35,275,https://img.pokemondb.net/sprites/sword-shield/icon/cherubi.png
502,421,Cherrim,['Grass'],70,60,70,87,78,85,450,https://img.pokemondb.net/sprites/sword-shield/icon/cherrim.png
503,422,Shellos,['Water'],76,48,48,57,62,34,325,https://img.pokemondb.net/sprites/sword-shield/icon/shellos.png
504,423,Gastrodon,"['Water', 'Ground']",111,83,68,92,82,39,475,https://img.pokemondb.net/sprites/sword-shield/icon/gastrodon.png
505,424,Ambipom,['Normal'],75,100,66,60,66,115,482,https://img.pokemondb.net/sprites/sword-shield/icon/ambipom.png
506,425,Drifloon,"['Ghost', 'Flying']",90,50,34,60,44,70,348,https://img.pokemondb.net/sprites/sword-shield/icon/drifloon.png
507,426,Drifblim,"['Ghost', 'Flying']",150,80,44,90,54,80,498,https://img.pokemondb.net/sprites/sword-shield/icon/drifblim.png
508,427,Buneary,['Normal'],55,66,44,44,56,85,350,https://img.pokemondb.net/sprites/sword-shield/icon/buneary.png
509,428,Lopunny,['Normal'],65,76,84,54,96,105,480,https://img.pokemondb.net/sprites/sword-shield/icon/lopunny.png
510,428,Mega Lopunny,"['Normal', 'Fighting']",65,136,94,54,96,135,580,https://img.pokemondb.net/sprites/sword-shield/icon/lopunny-mega.png
511,429,Mismagius,['Ghost'],60,60,60,105,105,105,495,https://img.pokemondb.net/sprites/sword-shield/icon/mismagius.png
512,430,Honchkrow,"['Dark', 'Flying']",100,125,52,105,52,71,505,https://img.pokemondb.net/sprites/sword-shield/icon/honchkrow.png
513,431,Glameow,['Normal'],49,55,42,42,37,85,310,https://img.pokemondb.net/sprites/sword-shield/icon/glameow.png
514,432,Purugly,['Normal'],71,82,64,64,59,112,452,https://img.pokemondb.net/sprites/sword-shield/icon/purugly.png
515,433,Chingling,['Psychic'],45,30,50,65,50,45,285,https://img.pokemondb.net/sprites/sword-shield/icon/chingling.png
516,434,Stunky,"['Poison', 'Dark']",63,63,47,41,41,74,329,https://img.pokemondb.net/sprites/sword-shield/icon/stunky.png
517,435,Skuntank,"['Poison', 'Dark']",103,93,67,71,61,84,479,https://img.pokemondb.net/sprites/sword-shield/icon/skuntank.png
518,436,Bronzor,"['Steel', 'Psychic']",57,24,86,24,86,23,300,https://img.pokemondb.net/sprites/sword-shield/icon/bronzor.png
519,437,Bronzong,"['Steel', 'Psychic']",67,89,116,79,116,33,500,https://img.pokemondb.net/sprites/sword-shield/icon/bronzong.png
520,438,Bonsly,['Rock'],50,80,95,10,45,10,290,https://img.pokemondb.net/sprites/sword-shield/icon/bonsly.png
521,439,Mime Jr.,"['Psychic', 'Fairy']",20,25,45,70,90,60,310,https://img.pokemondb.net/sprites/sword-shield/icon/mime-jr.png
522,440,Happiny,['Normal'],100,5,5,15,65,30,220,https://img.pokemondb.net/sprites/sword-shield/icon/happiny.png
523,441,Chatot,"['Normal', 'Flying']",76,65,45,92,42,91,411,https://img.pokemondb.net/sprites/sword-shield/icon/chatot.png
524,442,Spiritomb,"['Ghost', 'Dark']",50,92,108,92,108,35,485,https://img.pokemondb.net/sprites/sword-shield/icon/spiritomb.png
525,443,Gible,"['Dragon', 'Ground']",58,70,45,40,45,42,300,https://img.pokemondb.net/sprites/sword-shield/icon/gible.png
526,444,Gabite,"['Dragon', 'Ground']",68,90,65,50,55,82,410,https://img.pokemondb.net/sprites/sword-shield/icon/gabite.png
527,445,Garchomp,"['Dragon', 'Ground']",108,130,95,80,85,102,600,https://img.pokemondb.net/sprites/sword-shield/icon/garchomp.png
528,445,Mega Garchomp,"['Dragon', 'Ground']",108,170,115,120,95,92,700,https://img.pokemondb.net/sprites/sword-shield/icon/garchomp-mega.png
529,446,Munchlax,['Normal'],135,85,40,40,85,5,390,https://img.pokemondb.net/sprites/sword-shield/icon/munchlax.png
530,447,Riolu,['Fighting'],40,70,40,35,40,60,285,https://img.pokemondb.net/sprites/sword-shield/icon/riolu.png
531,448,Lucario,"['Fighting', 'Steel']",70,110,70,115,70,90,525,https://img.pokemondb.net/sprites/sword-shield/icon/lucario.png
532,448,Mega Lucario,"['Fighting', 'Steel']",70,145,88,140,70,112,625,https://img.pokemondb.net/sprites/sword-shield/icon/lucario-mega.png
533,449,Hippopotas,['Ground'],68,72,78,38,42,32,330,https://img.pokemondb.net/sprites/sword-shield/icon/hippopotas.png
534,450,Hippowdon,['Ground'],108,112,118,68,72,47,525,https://img.pokemondb.net/sprites/sword-shield/icon/hippowdon.png
535,451,Skorupi,"['Poison', 'Bug']",40,50,90,30,55,65,330,https://img.pokemondb.net/sprites/sword-shield/icon/skorupi.png
536,452,Drapion,"['Poison', 'Dark']",70,90,110,60,75,95,500,https://img.pokemondb.net/sprites/sword-shield/icon/drapion.png
537,453,Croagunk,"['Poison', 'Fighting']",48,61,40,61,40,50,300,https://img.pokemondb.net/sprites/sword-shield/icon/croagunk.png
538,454,Toxicroak,"['Poison', 'Fighting']",83,106,65,86,65,85,490,https://img.pokemondb.net/sprites/sword-shield/icon/toxicroak.png
539,455,Carnivine,['Grass'],74,100,72,90,72,46,454,https://img.pokemondb.net/sprites/sword-shield/icon/carnivine.png
540,456,Finneon,['Water'],49,49,56,49,61,66,330,https://img.pokemondb.net/sprites/sword-shield/icon/finneon.png
541,457,Lumineon,['Water'],69,69,76,69,86,91,460,https://img.pokemondb.net/sprites/sword-shield/icon/lumineon.png
542,458,Mantyke,"['Water', 'Flying']",45,20,50,60,120,50,345,https://img.pokemondb.net/sprites/sword-shield/icon/mantyke.png
543,459,Snover,"['Grass', 'Ice']",60,62,50,62,60,40,334,https://img.pokemondb.net/sprites/sword-shield/icon/snover.png
544,460,Abomasnow,"['Grass', 'Ice']",90,92,75,92,85,60,494,https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow.png
545,460,Mega Abomasnow,"['Grass', 'Ice']",90,132,105,132,105,30,594,https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow-mega.png
546,461,Weavile,"['Dark', 'Ice']",70,120,65,45,85,125,510,https://img.pokemondb.net/sprites/sword-shield/icon/weavile.png
547,462,Magnezone,"['Electric', 'Steel']",70,70,115,130,90,60,535,https://img.pokemondb.net/sprites/sword-shield/icon/magnezone.png
548,463,Lickilicky,['Normal'],110,85,95,80,95,50,515,https://img.pokemondb.net/sprites/sword-shield/icon/lickilicky.png
549,464,Rhyperior,"['Ground', 'Rock']",115,140,130,55,55,40,535,https://img.pokemondb.net/sprites/sword-shield/icon/rhyperior.png
550,465,Tangrowth,['Grass'],100,100,125,110,50,50,535,https://img.pokemondb.net/sprites/sword-shield/icon/tangrowth.png
551,466,Electivire,['Electric'],75,123,67,95,85,95,540,https://img.pokemondb.net/sprites/sword-shield/icon/electivire.png
552,467,Magmortar,['Fire'],75,95,67,125,95,83,540,https://img.pokemondb.net/sprites/sword-shield/icon/magmortar.png
553,468,Togekiss,"['Fairy', 'Flying']",85,50,95,120,115,80,545,https://img.pokemondb.net/sprites/sword-shield/icon/togekiss.png
554,469,Yanmega,"['Bug', 'Flying']",86,76,86,116,56,95,515,https://img.pokemondb.net/sprites/sword-shield/icon/yanmega.png
555,470,Leafeon,['Grass'],65,110,130,60,65,95,525,https://img.pokemondb.net/sprites/sword-shield/icon/leafeon.png
556,471,Glaceon,['Ice'],65,60,110,130,95,65,525,https://img.pokemondb.net/sprites/sword-shield/icon/glaceon.png
557,472,Gliscor,"['Ground', 'Flying']",75,95,125,45,75,95,510,https://img.pokemondb.net/sprites/sword-shield/icon/gliscor.png
558,473,Mamoswine,"['Ice', 'Ground']",110,130,80,70,60,80,530,https://img.pokemondb.net/sprites/sword-shield/icon/mamoswine.png
559,474,Porygon-Z,['Normal'],85,80,70,135,75,90,535,https://img.pokemondb.net/sprites/sword-shield/icon/porygon-z.png
560,475,Gallade,"['Psychic', 'Fighting']",68,125,65,65,115,80,518,https://img.pokemondb.net/sprites/sword-shield/icon/gallade.png
561,475,Mega Gallade,"['Psychic', 'Fighting']",68,165,95,65,115,110,618,https://img.pokemondb.net/sprites/sword-shield/icon/gallade-mega.png
562,476,Probopass,"['Rock', 'Steel']",60,55,145,75,150,40,525,https://img.pokemondb.net/sprites/sword-shield/icon/probopass.png
563,477,Dusknoir,['Ghost'],45,100,135,65,135,45,525,https://img.pokemondb.net/sprites/sword-shield/icon/dusknoir.png
564,478,Froslass,"['Ice', 'Ghost']",70,80,70,80,70,110,480,https://img.pokemondb.net/sprites/sword-shield/icon/froslass.png
565,479,Rotom,"['Electric', 'Ghost']",50,50,77,95,77,91,440,https://img.pokemondb.net/sprites/sword-shield/icon/rotom.png
566,479,Heat Rotom,"['Electric', 'Fire']",50,65,107,105,107,86,520,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-heat.png
567,479,Wash Rotom,"['Electric', 'Water']",50,65,107,105,107,86,520,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-wash.png
568,479,Frost Rotom,"['Electric', 'Ice']",50,65,107,105,107,86,520,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-frost.png
569,479,Fan Rotom,"['Electric', 'Flying']",50,65,107,105,107,86,520,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-fan.png
570,479,Mow Rotom,"['Electric', 'Grass']",50,65,107,105,107,86,520,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-mow.png
571,480,Uxie,['Psychic'],75,75,130,75,130,95,580,https://img.pokemondb.net/sprites/sword-shield/icon/uxie.png
572,481,Mesprit,['Psychic'],80,105,105,105,105,80,580,https://img.pokemondb.net/sprites/sword-shield/icon/mesprit.png
573,482,Azelf,['Psychic'],75,125,70,125,70,115,580,https://img.pokemondb.net/sprites/sword-shield/icon/azelf.png
574,483,Dialga,"['Steel', 'Dragon']",100,120,120,150,100,90,680,https://img.pokemondb.net/sprites/sword-shield/icon/dialga.png
575,484,Palkia,"['Water', 'Dragon']",90,120,100,150,120,100,680,https://img.pokemondb.net/sprites/sword-shield/icon/palkia.png
576,485,Heatran,"['Fire', 'Steel']",91,90,106,130,106,77,600,https://img.pokemondb.net/sprites/sword-shield/icon/heatran.png
577,486,Regigigas,['Normal'],110,160,110,80,110,100,670,https://img.pokemondb.net/sprites/sword-shield/icon/regigigas.png
578,487,Altered Forme,"['Ghost', 'Dragon']",150,100,120,100,120,90,680,https://img.pokemondb.net/sprites/sword-shield/icon/giratina-altered.png
579,487,Origin Forme,"['Ghost', 'Dragon']",150,120,100,120,100,90,680,https://img.pokemondb.net/sprites/sword-shield/icon/giratina-origin.png
580,488,Cresselia,['Psychic'],120,70,120,75,130,85,600,https://img.pokemondb.net/sprites/sword-shield/icon/cresselia.png
581,489,Phione,['Water'],80,80,80,80,80,80,480,https://img.pokemondb.net/sprites/sword-shield/icon/phione.png
582,490,Manaphy,['Water'],100,100,100,100,100,100,600,https://img.pokemondb.net/sprites/sword-shield/icon/manaphy.png
583,491,Darkrai,['Dark'],70,90,90,135,90,125,600,https://img.pokemondb.net/sprites/sword-shield/icon/darkrai.png
584,492,Land Forme,['Grass'],100,100,100,100,100,100,600,https://img.pokemondb.net/sprites/sword-shield/icon/shaymin-land.png
585,492,Sky Forme,"['Grass', 'Flying']",100,103,75,120,75,127,600,https://img.pokemondb.net/sprites/sword-shield/icon/shaymin-sky.png
586,493,Arceus,['Normal'],120,120,120,120,120,120,720,https://img.pokemondb.net/sprites/sword-shield/icon/arceus.png
587,494,Victini,"['Psychic', 'Fire']",100,100,100,100,100,100,600,https://img.pokemondb.net/sprites/sword-shield/icon/victini.png
588,495,Snivy,['Grass'],45,45,55,45,55,63,308,https://img.pokemondb.net/sprites/sword-shield/icon/snivy.png
589,496,Servine,['Grass'],60,60,75,60,75,83,413,https://img.pokemondb.net/sprites/sword-shield/icon/servine.png
590,497,Serperior,['Grass'],75,75,95,75,95,113,528,https://img.pokemondb.net/sprites/sword-shield/icon/serperior.png
591,498,Tepig,['Fire'],65,63,45,45,45,45,308,https://img.pokemondb.net/sprites/sword-shield/icon/tepig.png
592,499,Pignite,"['Fire', 'Fighting']",90,93,55,70,55,55,418,https://img.pokemondb.net/sprites/sword-shield/icon/pignite.png
593,500,Emboar,"['Fire', 'Fighting']",110,123,65,100,65,65,528,https://img.pokemondb.net/sprites/sword-shield/icon/emboar.png
594,501,Oshawott,['Water'],55,55,45,63,45,45,308,https://img.pokemondb.net/sprites/sword-shield/icon/oshawott.png
595,502,Dewott,['Water'],75,75,60,83,60,60,413,https://img.pokemondb.net/sprites/sword-shield/icon/dewott.png
596,503,Samurott,['Water'],95,100,85,108,70,70,528,https://img.pokemondb.net/sprites/sword-shield/icon/samurott.png
597,504,Patrat,['Normal'],45,55,39,35,39,42,255,https://img.pokemondb.net/sprites/sword-shield/icon/patrat.png
598,505,Watchog,['Normal'],60,85,69,60,69,77,420,https://img.pokemondb.net/sprites/sword-shield/icon/watchog.png
599,506,Lillipup,['Normal'],45,60,45,25,45,55,275,https://img.pokemondb.net/sprites/sword-shield/icon/lillipup.png
600,507,Herdier,['Normal'],65,80,65,35,65,60,370,https://img.pokemondb.net/sprites/sword-shield/icon/herdier.png
601,508,Stoutland,['Normal'],85,110,90,45,90,80,500,https://img.pokemondb.net/sprites/sword-shield/icon/stoutland.png
602,509,Purrloin,['Dark'],41,50,37,50,37,66,281,https://img.pokemondb.net/sprites/sword-shield/icon/purrloin.png
603,510,Liepard,['Dark'],64,88,50,88,50,106,446,https://img.pokemondb.net/sprites/sword-shield/icon/liepard.png
604,511,Pansage,['Grass'],50,53,48,53,48,64,316,https://img.pokemondb.net/sprites/sword-shield/icon/pansage.png
605,512,Simisage,['Grass'],75,98,63,98,63,101,498,https://img.pokemondb.net/sprites/sword-shield/icon/simisage.png
606,513,Pansear,['Fire'],50,53,48,53,48,64,316,https://img.pokemondb.net/sprites/sword-shield/icon/pansear.png
607,514,Simisear,['Fire'],75,98,63,98,63,101,498,https://img.pokemondb.net/sprites/sword-shield/icon/simisear.png
608,515,Panpour,['Water'],50,53,48,53,48,64,316,https://img.pokemondb.net/sprites/sword-shield/icon/panpour.png
609,516,Simipour,['Water'],75,98,63,98,63,101,498,https://img.pokemondb.net/sprites/sword-shield/icon/simipour.png
610,517,Munna,['Psychic'],76,25,45,67,55,24,292,https://img.pokemondb.net/sprites/sword-shield/icon/munna.png
611,518,Musharna,['Psychic'],116,55,85,107,95,29,487,https://img.pokemondb.net/sprites/sword-shield/icon/musharna.png
612,519,Pidove,"['Normal', 'Flying']",50,55,50,36,30,43,264,https://img.pokemondb.net/sprites/sword-shield/icon/pidove.png
613,520,Tranquill,"['Normal', 'Flying']",62,77,62,50,42,65,358,https://img.pokemondb.net/sprites/sword-shield/icon/tranquill.png
614,521,Unfezant,"['Normal', 'Flying']",80,115,80,65,55,93,488,https://img.pokemondb.net/sprites/sword-shield/icon/unfezant.png
615,522,Blitzle,['Electric'],45,60,32,50,32,76,295,https://img.pokemondb.net/sprites/sword-shield/icon/blitzle.png
616,523,Zebstrika,['Electric'],75,100,63,80,63,116,497,https://img.pokemondb.net/sprites/sword-shield/icon/zebstrika.png
617,524,Roggenrola,['Rock'],55,75,85,25,25,15,280,https://img.pokemondb.net/sprites/sword-shield/icon/roggenrola.png
618,525,Boldore,['Rock'],70,105,105,50,40,20,390,https://img.pokemondb.net/sprites/sword-shield/icon/boldore.png
619,526,Gigalith,['Rock'],85,135,130,60,80,25,515,https://img.pokemondb.net/sprites/sword-shield/icon/gigalith.png
620,527,Woobat,"['Psychic', 'Flying']",65,45,43,55,43,72,323,https://img.pokemondb.net/sprites/sword-shield/icon/woobat.png
621,528,Swoobat,"['Psychic', 'Flying']",67,57,55,77,55,114,425,https://img.pokemondb.net/sprites/sword-shield/icon/swoobat.png
622,529,Drilbur,['Ground'],60,85,40,30,45,68,328,https://img.pokemondb.net/sprites/sword-shield/icon/drilbur.png
623,530,Excadrill,"['Ground', 'Steel']",110,135,60,50,65,88,508,https://img.pokemondb.net/sprites/sword-shield/icon/excadrill.png
624,531,Audino,['Normal'],103,60,86,60,86,50,445,https://img.pokemondb.net/sprites/sword-shield/icon/audino.png
625,531,Mega Audino,"['Normal', 'Fairy']",103,60,126,80,126,50,545,https://img.pokemondb.net/sprites/sword-shield/icon/audino-mega.png
626,532,Timburr,['Fighting'],75,80,55,25,35,35,305,https://img.pokemondb.net/sprites/sword-shield/icon/timburr.png
627,533,Gurdurr,['Fighting'],85,105,85,40,50,40,405,https://img.pokemondb.net/sprites/sword-shield/icon/gurdurr.png
628,534,Conkeldurr,['Fighting'],105,140,95,55,65,45,505,https://img.pokemondb.net/sprites/sword-shield/icon/conkeldurr.png
629,535,Tympole,['Water'],50,50,40,50,40,64,294,https://img.pokemondb.net/sprites/sword-shield/icon/tympole.png
630,536,Palpitoad,"['Water', 'Ground']",75,65,55,65,55,69,384,https://img.pokemondb.net/sprites/sword-shield/icon/palpitoad.png
631,537,Seismitoad,"['Water', 'Ground']",105,95,75,85,75,74,509,https://img.pokemondb.net/sprites/sword-shield/icon/seismitoad.png
632,538,Throh,['Fighting'],120,100,85,30,85,45,465,https://img.pokemondb.net/sprites/sword-shield/icon/throh.png
